# TIPO,LOGRADOURO,BAIRRO,CIDADE
RUA,DOS AIMORES,LOURDES,BELO HORIZONTE
RUA,DOS AIMORES,BARRO PRETO,BELO HORIZONTE
RUA,AJAIR DE ALMEIDA COSTA,MANTIQUEIRA,BELO HORIZONTE
RUA,KIWI,CONJUNTO PAULO VI,BELO HORIZONTE
RUA,AL,SAO GABRIEL,BELO HORIZONTE
RUA,ALABANDINA,CAICARAS,BELO HORIZONTE
RUA,ALADIN CORREA DE FARIA,SANTA CRUZ (BARREIRO),BELO HORIZONTE
BECO,DO OLADIR,SERRA,BELO HORIZONTE
RUA,ALAGOAS,FUNCIONARIOS,BELO HORIZONTE
BECO,ALAGOAS,ESTRELA,BELO HORIZONTE
RUA,ALAIDE COSTA,GLORIA,BELO HORIZONTE
BECO,ALAIDE,VENTOSA,BELO HORIZONTE
RUA,ALAIR MARQUES RODRIGUES,SANTA AMELIA,BELO HORIZONTE
RUA,ALAIR PEREIRA DA SILVA,CONJUNTO TAQUARIL,BELO HORIZONTE
RUA,ALAIR PEREIRA DE MELLO,BETANIA,BELO HORIZONTE
RUA,ALAMANDA,LINDEIA (BARREIRO),BELO HORIZONTE
RUA,DOS ALAMOS,MARAJO,BELO HORIZONTE
RUA,ALAN KARDEC,ALIPIO DE MELO,BELO HORIZONTE
RUA,ALBA,GLORIA,BELO HORIZONTE
RUA,ALBATROZ,VILA CLORIS,BELO HORIZONTE
RUA,ALBERT SCHARLET,MADRE GERTRUDES,BELO HORIZONTE
RUA,ALBERTINA,MINASLANDIA (P MAIO),BELO HORIZONTE
RUA,ALBERTINA MARIA PEREIRA,JARDIM DOS COMERCIARIOS (VENDA NOVA),BELO HORIZONTE
RUA,ALBERTO ALVES DE AZEVEDO,CASTELO,BELO HORIZONTE
RUA,ALBERTO AMBROSIO DOS SANTOS,MANTIQUEIRA,BELO HORIZONTE
RUA,ALBERTO BRESSANE,SAO LUCAS,BELO HORIZONTE
RUA,ALBERTO CINTRA,UNIAO,BELO HORIZONTE
PRACA,ALBERTO DALVA SIMAO,SAO LUIZ,BELO HORIZONTE
RUA,ALBERTO DE FREITAS RAMOS,PIRATININGA (VENDA NOVA),BELO HORIZONTE
RUA,ALBERTO DE OLIVEIRA,SANTA MONICA,BELO HORIZONTE
RUA,JAIR FORTES DA SILVA,JAQUELINE,BELO HORIZONTE
RUA,ALBERTO DE SOUZA,BURITIS,BELO HORIZONTE
